SPI-T-Class,SPI-TVT-Class,Transitions,Percentage,Scale
Near Normal,Moderately Dry,517362,3.48,12
Moderately Dry,Very Dry,294630,1.98,12
Moderately Wet,Near Normal,830721,5.59,12
Moderately Wet,Very Dry,27315,0.18,12
Very Dry,Moderately Dry,58736,0.4,12
Near Normal,Very Dry,40062,0.27,12
Very Wet,Moderately Wet,320486,2.16,12
Extremely Wet,Very Wet,97972,0.66,12
Very Dry,Very Wet,5570,0.04,12
Very Dry,Moderately Wet,18646,0.13,12
Very Dry,Near Normal,43924,0.3,12
Very Wet,Very Dry,12750,0.09,12
Moderately Dry,Near Normal,7238,0.05,12
Very Dry,Extremely Dry,118186,0.8,12
Very Dry,Extremely Wet,627,0,12
Moderately Wet,Very Wet,9385,0.06,12
Very Wet,Extremely Wet,6165,0.04,12
Near Normal,Moderately Wet,8533,0.06,12
Extremely Dry,Very Dry,27360,0.18,12
Extremely Wet,Very Dry,3590,0.02,12
Extremely Wet,Moderately Wet,18171,0.12,12
Moderately Dry,Extremely Dry,10,0,12
Very Wet,Near Normal,36998,0.25,12
Extremely Wet,Near Normal,69,0,12
